Artist Name,Track Name,Album
Datassette,Blue Monday (V4),Dominance Electricity's Electrofunk Resistance
Spacelab,Outside an Airlock,Spacelab
Solar Quest,Singtree,Orgship
Joy Wants Eternity,From Embrace To Embrace,You Who Pretend To Sleep
Ulrich Schnauss,Monday – Paracetamol,A Strangely Isolated Place
Austin Wintory,"To Know, Water",Abzu
Mndsgn,Homewards,Yawn Zen
Tomppabeats,Again,Discography 2016
Washed Out,It All Feels Right,Paracosm
Toro y Moi,So Many Details,Anything in Return
"Tyler, The Creator",Pothole (feat. Jaden Smith),Flower Boy
"Tyler, The Creator",Boredom (feat. Rex Orange County & Anna of the North),Flower Boy
Artificial Arm,Get Down (To the Sound),Dominance Electricity's Electrofunk Resistance
Flying Lotus,"Coronus, the Terminator",You're Dead! (Deluxe Edition)
TOPS,Petals,Sugar at the Gate
Slowdive,Sugar for the Pill,Slowdive
Slowdive,No Longer Making Time,Slowdive
George Harrison,My Sweet Lord,All Things Must Pass (Remastered)
Anana,The Easy Path,The Easy Path
Starcadian,Dance or Die,Saturdaze
Worship,Ritual Action,The Wolf EP
Crockett,Four Minutes Til Sunrise,Songs for the Forgotten
Wand,Melted Rope,Golem
Slowdive,Slomo,Slowdive
Suicide,Dream Baby Dream,The Second Album + The First Rehearsal Tapes
King Krule,Slush Puppy,The OOZ
Neil Young,On the Beach - 2016 Remaster,On the Beach
13th Floor Elevators,Splash 1 (2008 Remastered Original Mono LP Version),The Psychedelic Sounds of the 13th Floor Elevators - 2008 Remaster
Banes World,You Say I'm in Love,You Say I'm in Love
Rostam,Wood,Wood
Pinkshinyultrablast,In the Hanging Gardens,In the Hanging Gardens
Benny Andersson,Happy New Year,Piano
Hoops,Feelin' Fine,Tape #3
Tijuana Panthers,Wasting Time,Ghost Food
Allah-Las,Could Be You,Calico Review
Happyness,Friend of the Revolution,Tunnel Vision On Your Part
Fantastic Something,If She Doesn't Smile,Ambition - The History Of Cherry Red Records Vol. 1&2
Fantastic Something,Home in Another Heart,Ce sentiment de l'été (Bande originale du film)
The Fresh & Onlys,Presence of Mind,Long Slow Dance
The Clean,Anything Could Happen,Anthology
The Pastels,Crawl Babies,Truckload Of Trouble
The Orchids,It's Only Obvious,Epicurean
Trashcan Sinatras,Leave Me Alone,Weightlifting
Broken Glass Heroes,Let's Not Fall Apart,Grandchildren of the Revolution
Morgan Delt,Some Sunsick Day,Some Sunsick Day
Ariel Pink,Only In My Dreams,Mature Themes
Lorelle Meets The Obsolete,La Distinción,Balance
The Spyrals,Lonely Eyes,The Spyrals
Seeing Hands,It's True,It's True
Jons,In the Yard,At Work on Several Things
Jons,Gutter Master,At Work on Several Things
The Death Of Pop,Sun in My Eyes,Two Thousand and Thirteen
Good Morning TV,Ordinary People,Good Morning TV
The Vine Divine,Needles and Fire,Needles and Fire
Willie J Healey,Best Friend's Sister,Hey Big Moon - EP
Vansire,Eleven Weeks,"The Rolling, Driftless North"
Klaus Johann Grobe,Geschichten aus erster Hand,Spagat der Liebe
TOPS,Petals,Petals
Seapony,A Place We Can Go,A Vision
Pokal,Great Expectations,Great Expectations
Triathalon,Brain Dead,Lo-Tide
EZTV,High Flying Faith,High in Place
Hideout,I Got Your Message,I Got Your Message
The Wheels,Dream On,The Year of the Monkey
Swim Mountain,Yesterday,Swim Mountain
Darker My Love,Backseat,Alive as You Are
Toro y Moi,Empty Nesters,What For?
Mild High Club,Homage,Skiptracing
Soft Hair,Lying Has To Stop - Single Version,Lying Has To Stop
Rose Elinor Dougall,Stellular,Stellular
Rose Elinor Dougall,Dive,Stellular
Hoops,Yeah,Hoops EP
Melody's Echo Chamber,"Some Time Alone, Alone",Melody's Echo Chamber
Jacco Gardner,Grey Lanes,Hypnophobia
Her's,Speed Racer,Speed Racer
Tenniscoats,Papaya,Papa's Ear
Sam Evian,Carolina,Premium
Her's,What Once Was,Songs of Her's
Her's,Marcel,Songs of Her's
Wimps,Old Guy,Suitcase
Perturbator,Meet Jimmy (feat. Le Cassette),Sexualizer EP
Timecop1983,Tonight,Waves
Kalax,Levitate,Kalax
Beach Fossils,Tangerine,Somersault
The Barr Brothers,Love Ain't Enough,Love Ain't Enough
Lower Dens,Tea Lights,Twin-Hand Movement
Jay Arner,Earth to Jay,Jay II
John Cooper Clarke,Post-War Glamour Girl,Disguise In Love
Unknown Mortal Orchestra,From the Sun,II
Her's,Marcel,Marcel
Michael Seyer,Breakfast in Bed,Ugly Boy
HOMESHAKE,Chowder,In the Shower
Alex G,Mary,Trick
Widowspeak,Gun Shy,Widowspeak
Ducktails,Letter of Intent,The Flower Lane
Unknown Mortal Orchestra,Necessary Evil,Multi-Love
Widowspeak,The Dream,Expect the Best
Hibou,Valium,Hibou
The Doors,Riders on the Storm,L.A. Woman
Tomorrows Tulips,Flowers On The Wall,Experimental Jelly
Part Time,Night Drive,PDA
Part Time,I Wanna Take You Out,What Would You Say?
Part Time,Virgo's Maze,Virgo's Maze
Soko,First Love Never Die,I Thought I Was An Alien
Mr Twin Sister,Meet the Frownies,Split
Mild High Club,Chapel Perilous,Skiptracing
Plums,Parking Lots,Jen
Part Time,It's Too Late,Virgo's Maze
Desmond Cheese,Dope Vhs Master,Fame & Fortune
Le Couleur,Femme,Voyage love
field trip,Song For CA,The Sounds Inside Your Mind
field trip,The Sounds Inside Your Mind,The Sounds Inside Your Mind
Pavo Pavo,Ran Ran Run,Young Narrator in the Breakers
Metronomy,Corinne,The English Riviera
Chaz Bundick Meets The Mattson 2,JBS,Star Stuff
Crystal Castles,Crimewave,Crystal Castles
Horsebeach,Faded Eyes,Horsebeach
Jonti,Rain,Rain
The Clientele,Reflections After Jane,Suburban Light (Remastered)
Fleet Foxes,Crack-Up - Choral Version,Crack-Up (Choral Version) / In the Morning (Live in Switzerland)
Fleet Foxes,In The Morning - Live in Switzerland,Crack-Up (Choral Version) / In the Morning (Live in Switzerland)
Chaz Bundick Meets The Mattson 2,Don't Blame Yourself,Star Stuff
Chaz Bundick Meets The Mattson 2,A Search,Star Stuff
The Smiths,Reel Around the Fountain - 2011 Remaster,The Smiths
The Smiths,You've Got Everything Now - 2011 Remaster,The Smiths
The Smiths,Miserable Lie - 2011 Remaster,The Smiths
The Smiths,Pretty Girls Make Graves - 2011 Remaster,The Smiths
The Smiths,The Hand That Rocks the Cradle - 2011 Remaster,The Smiths
The Smiths,This Charming Man - 2011 Remaster,The Smiths
The Smiths,Still Ill - 2011 Remaster,The Smiths
The Smiths,Hand in Glove - 2011 Remaster,The Smiths
The Smiths,What Difference Does It Make? - 2011 Remaster,The Smiths
The Smiths,I Don't Owe You Anything - 2011 Remaster,The Smiths
The Smiths,Suffer Little Children - 2011 Remaster,The Smiths
The Cure,Just Like Heaven - Remastered 2006,Kiss Me Kiss Me Kiss Me (Remastered 2006)
Tears For Fears,Everybody Wants To Rule The World,Songs From The Big Chair
Roxy Music,More Than This,Roxy Music Collection
Pet Shop Boys,West End Girls - 2001 Remaster,Please
The Cure,Boys Don't Cry,Staring At The Sea - The Singles
Derribos Arias,Branquias bajo el agua,Cd
Fleetwood Mac,Everywhere - 2017 Remaster,Tango In the Night (Deluxe Edition)
New Order,Blue Monday '88,The Best of New Order
La Mode,El Eterno Femenino,El Eterno Femenino
Crowded House,Don't Dream It's Over,Crowded House
Wang Chung,Dance Hall Days (Re-Recorded),Best Of
Daryl Hall & John Oates,Private Eyes,Private Eyes (Expanded Edition)
Yes,Owner of a Lonely Heart,90125 (Deluxe Version)
Domenique Dumont,"Sans cesse, mon chéri",Miniatures de auto rhythm
Tipsy,Size 178-79-55-91,Michelangelo in Space
Filmico,Quest,In the Senses
Connan Mockasin,Charlotte's Thong,Jassbusters
Amtrac,Formal Disco,Formal Disco
Real Estate,It's Real,Days
Wild Nothing,Our Composition Book,Gemini
Part Time,It's Elizabeth,Virgo's Maze
Papercuts,Future Primitive,You Can Have What You Want
Mac DeMarco,Finally Alone,Here Comes The Cowboy
Omar Apollo,Kickback,Friends
Lounge FM,Play Nice,Love Will Let You Down
Yellow Days,What's It All For?,What's It All For?
Helado Negro,Please Won’t Please,This Is How You Smile
A.C. Freazy,The Other Side,The Other Side
Papooz,Theatrical State of Mind,Night Sketches
The Marías,Clueless,Clueless
Mark Whalen,Happen Twice,Morning Glory
Freak Slug,Disorder,Disorder
Feng Suave,Venus Flytrap,Venus Flytrap
RMZ,Music in the Village,Music in the Village
Far Caspian,A Dream of You,A Dream of You
Miel De Montagne,Ces rêves,Ces rêves
Mark Whalen,Oh Susan,Morning Glory
BRONCHO,Sandman,Bad Behavior
Marsandaras (M*A*R*S),Waste Ur Time,Waste Ur Time
Men I Trust,"Say, Can You Hear","Say, Can You Hear"
Part Time,Animal Machines,Return to Cherry
Club Kuru,Cherry Bloom,Cherry Bloom
Fenster,The Room,The Room
nic and reuben,Paddling Out,Somethin' Somethin'
Men I Trust,Norton Commander (All We Need),Norton Commander (All We Need)
Xavier Gibson,I Love U - This is For All My Hopeless Romantics,I Love U (This is For All My Hopeless Romantics)
Havelock,Vacancy,Vacancy
Cuco,Best Friend,Para Mi
Cuco,Do Better,Para Mi
Banes World,Stay Away from My Baby,Drowsy
Banes World,Still Lovely,Drowsy
Banes World,Drowsy,Drowsy
Toro y Moi,Balance (feat. Washed Out),smartbeats
Toro y Moi,Move (feat. Nosaj Thing),smartbeats
Friendly Fires,Can't Wait Forever,Inflorescent
Boards of Canada,Sherbet Head,The Campfire Headphase
Lzr,Austria,Austria
Allah-Las,Prazer Em Te Conhecer,Prazer Em Te Conhecer
Temples,Certainty,Volcano
Caesars,Jerk It Out,Jerk It Out
Capital Cities,Safe And Sound,In A Tidal Wave Of Mystery (Deluxe Edition)
Smash Mouth,All Star,Astro Lounge
Smash Mouth,I'm A Believer,Smash Mouth
M83,Midnight City,"Hurry up, We're Dreaming"
Belle and Sebastian,I Know Where The Summer Goes,Days of the Bagnold Summer
Allah-Las,Catamaran,Allah-Las
Kid Francescoli,Moon,Play Me Again
Requin Chagrin,Sémaphore,Sémaphore
Vendredi sur Mer,Écoute Chérie,Premiers émois
Her,Shuggie - Bonus Track,Her
Miel De Montagne,L'amour,Miel de Montagne
L'Impératrice,Là-haut,Matahari (French Version)
L'Impératrice,Agitations tropicales,Odyssée - EP
Vendredi sur Mer,Chewing-Gum,Premiers émois
Toro y Moi,Ordinary Pleasure,Outer Peace
Vendredi sur Mer,La femme à la peau bleue,Premiers émois
Vendredi sur Mer,Larme à gauche,Premiers émois
King Krule,Airport Antenatal Airplane,Man Alive!
Crumb,Ghostride,Jinx
Neon Indian,Smut!,Vega Intl. Night School
Mild High Club,Note to Self,Timeline
Grumpy,Space Cadet,Space Cadet
Eoin Dolan,Superior Fiction,Superior Fiction
Why Bonnie,Voice Box,Voice Box
Born Ruffians,Dedication,Dedication
Tomorrows Tulips,Internal Perm,Experimental Jelly
Ty Segall,My Lady's On Fire,Freedom's Goblin
Together Pangea,Friend of Nothing - Acoustic,Sleeping Til Sunset (Acoustic Versions)
Mystic Braves,Bright Blue Day Haze,Desert Island
BRONCHO,Boys Got to Go,Bad Behavior
Harlem,Gay Human Bones,Hippies
The Cleaners From Venus,Only a Shadow,Midnight Cleaners
The Babies,Mess Me Around,Our House on the Hill
Thee Oh Sees,C,Smote Reverser
BRONCHO,Class Historian,Just Enough Hip to Be Woman
Ty Segall,Orange Color Queen,Ty Segall
Thee Oh Sees,Tidal Wave,Live in San Francisco
Tomorrows Tulips,Worn Issue Ltd,Harnessed to Flesh
Allah-Las,Fish on the Sand,Fish on the Sand
Ty Segall,Tall Man Skinny Lady,Manipulator
BRONCHO,Easy Way Out,Bad Behavior
Tomorrows Tulips,Living Room Sensative,Eternally Teenage
The Memories,Touched by an Angel,Touched by an Angel
The King Khan & BBQ Show,Love You So,The King Khan & BBQ Show
Damaged Bug,Jet in Jungle,Cold Hot Plumbs
Bleached,Hard to Kill,Don’t You Think You’ve Had Enough?
King Tuff,I'm Free,I'm Free
Tomorrows Tulips,Down Turned Self Pity,When
Helvetia,RyBro,Nothing In Rambling
Tomorrows Tulips,Harnessed to Flesh,Harnessed to Flesh
The Memories,Second Try,Second Try
The Cleaners From Venus,Summer in a Small Town,Under Wartime Conditions
Allah-Las,Busman's Holiday,Allah-Las
Dead Ghosts,Roky Said,Can't Get No
Allah-Las,Ferus Gallery,Worship the Sun
The Cleaners From Venus,Incident in a Greatcoat,My Back Wages
Ty Segall,Finger,Melted
Mk.gee,You,Pronounced McGee
Ciscero,"Good To Know (feat. Masego, Kp & Ambriia)","Good To Know (feat. Masego, Kp & Ambriia)"
JORDANN,Business Solutions,Business Solutions
Braxton Cook,Somewhere in Between (Swarvy Remix),Somewhere in Between (Swarvy Remix)
Tei Shi,Even If It Hurts,La Linda
PREP,Don't Look Back,Don't Look Back
Vanilla,Swept Away,Origin
Funkmammoth,It'll Be OK,Bird Watching
Hablot Brown,Easy For You,Soulection Black Label: Hablot Brown
[bsd.u],late nite,pook
letherette,Just for You,Mander House Edits
Saib,Agua,Basement Grooves
FloFilz,Uferlos,Beats On Boat: Flofilz
Jazzinuf,Soul Mates,Soul Mates
boy pablo,Feeling Lonely,Soy Pablo
Puma Blue,Moon Undah Water,Moon Undah Water
The Marías,I Don't Know You,I Don't Know You
Mac DeMarco,Freaking Out the Neighborhood,2
Miles Davis,Blue in Green (feat. John Coltrane & Bill Evans),Kind Of Blue (Legacy Edition)
Fleet Foxes,Ragged Wood,Fleet Foxes
Toro y Moi,Girl Like You,Boo Boo
The Beatles,Here Comes The Sun - Remastered 2009,Abbey Road (Remastered)
The Smiths,"Frankly, Mr. Shankly - 2011 Remaster",The Queen Is Dead
Cocteau Twins,Heaven Or Las Vegas,Heaven Or Las Vegas (Remastered)
The Drums,Money,Portamento
Slowdive,When the Sun Hits,Souvlaki
