Artist,Album,Track
Datassette,Dominance Electricity's Electrofunk Resistance,Blue Monday (V4)
Spacelab,Spacelab,Outside an Airlock
Solar Quest,Orgship,Singtree
Joy Wants Eternity,You Who Pretend To Sleep,From Embrace To Embrace
Max Corbacho,The Ocean Inside,Deep Blue Home
Ulrich Schnauss,A Strangely Isolated Place,Monday – Paracetamol
Austin Wintory,Abzu,"To Know, Water"
Mndsgn,Yawn Zen,Homewards
Tomppabeats,Discography 2016,Again
Washed Out,Paracosm,It All Feels Right
Toro y Moi,Anything in Return,So Many Details
"Tyler, The Creator",Flower Boy,Pothole (feat. Jaden Smith)
"Tyler, The Creator",Flower Boy,Boredom (feat. Rex Orange County & Anna of the North)
Artificial Arm,Dominance Electricity's Electrofunk Resistance,Get Down (To the Sound)
Flying Lotus,You're Dead! (Deluxe Edition),"Coronus, the Terminator"
TOPS,Sugar at the Gate,Petals
Slowdive,Slowdive,Sugar for the Pill
Slowdive,Slowdive,No Longer Making Time
George Harrison,All Things Must Pass (Remastered),My Sweet Lord
Anana,The Easy Path,The Easy Path
Starcadian,Saturdaze,Dance or Die
Worship,The Wolf EP,Ritual Action
Crockett,Songs for the Forgotten,Four Minutes Til Sunrise
Wand,Golem,Melted Rope
Slowdive,Slowdive,Slomo
Suicide,The Second Album + The First Rehearsal Tapes,Dream Baby Dream
King Krule,The OOZ,Slush Puppy
Neil Young,On the Beach,On the Beach - 2016 Remaster
13th Floor Elevators,The Psychedelic Sounds of the 13th Floor Elevators - 2008 Remaster,Splash 1 (2008 Remastered Original Mono LP Version)
Banes World,You Say I'm in Love,You Say I'm in Love
Rostam,Wood,Wood
Pinkshinyultrablast,In the Hanging Gardens,In the Hanging Gardens
Benny Andersson,Piano,Happy New Year
Hoops,Tape #3,Feelin' Fine
Tijuana Panthers,Ghost Food,Wasting Time
Allah-Las,Calico Review,Could Be You
Happyness,Tunnel Vision On Your Part,Friend of the Revolution
Fantastic Something,Ambition - The History Of Cherry Red Records Vol. 1&2,If She Doesn't Smile
Fantastic Something,Ce sentiment de l'été (Bande originale du film),Home in Another Heart
The Fresh & Onlys,Long Slow Dance,Presence of Mind
The Clean,Anthology,Anything Could Happen
The Pastels,Truckload Of Trouble,Crawl Babies
The Orchids,Epicurean,It's Only Obvious
Trashcan Sinatras,Weightlifting,Leave Me Alone
Broken Glass Heroes,Grandchildren of the Revolution,Let's Not Fall Apart
Morgan Delt,Some Sunsick Day,Some Sunsick Day
Ariel Pink,Mature Themes,Only In My Dreams
Lorelle Meets The Obsolete,Balance,La Distinción
The Spyrals,The Spyrals,Lonely Eyes
Seeing Hands,It's True,It's True
Jons,At Work on Several Things,In the Yard
Jons,At Work on Several Things,Gutter Master
The Death Of Pop,Two Thousand and Thirteen,Sun in My Eyes
Good Morning TV,Good Morning TV,Ordinary People
The Vine Divine,Needles and Fire,Needles and Fire
Willie J Healey,Hey Big Moon - EP,Best Friend's Sister
Vansire,"The Rolling, Driftless North",Eleven Weeks
Klaus Johann Grobe,Spagat der Liebe,Geschichten aus erster Hand
TOPS,Petals,Petals
Seapony,A Vision,A Place We Can Go
Pokal,Great Expectations,Great Expectations
Triathalon,Lo-Tide,Brain Dead
EZTV,High in Place,High Flying Faith
Hideout,I Got Your Message,I Got Your Message
The Wheels,The Year of the Monkey,Dream On
Swim Mountain,Swim Mountain,Yesterday
Darker My Love,Alive as You Are,Backseat
Toro y Moi,What For?,Empty Nesters
Mild High Club,Skiptracing,Homage
Soft Hair,Lying Has To Stop,Lying Has To Stop - Single Version
Rose Elinor Dougall,Stellular,Stellular
Rose Elinor Dougall,Stellular,Dive
Hoops,Hoops EP,Yeah
Melody's Echo Chamber,Melody's Echo Chamber,"Some Time Alone, Alone"
Mild High Club,Skiptracing,Skiptracing
Jacco Gardner,Hypnophobia,Grey Lanes
Her's,Speed Racer,Speed Racer
Tenniscoats,Papa's Ear,Papaya
Sam Evian,Premium,Carolina
Her's,Songs of Her's,What Once Was
Her's,Songs of Her's,Marcel
Wimps,Suitcase,Old Guy
Perturbator,Sexualizer EP,Meet Jimmy (feat. Le Cassette)
Timecop1983,Waves,Tonight
Kalax,Kalax,Levitate
Beach Fossils,Somersault,Tangerine
The Barr Brothers,Love Ain't Enough,Love Ain't Enough
Lower Dens,Twin-Hand Movement,Tea Lights
Jay Arner,Jay II,Earth to Jay
John Cooper Clarke,Disguise In Love,Post-War Glamour Girl
Unknown Mortal Orchestra,II,From the Sun
Her's,Marcel,Marcel
Michael Seyer,Ugly Boy,Breakfast in Bed
HOMESHAKE,In the Shower,Chowder
Alex G,Trick,Mary
Widowspeak,Widowspeak,Gun Shy
Ducktails,The Flower Lane,Letter of Intent
Unknown Mortal Orchestra,Multi-Love,Necessary Evil
Widowspeak,Expect the Best,The Dream
Hibou,Hibou,Valium
The Doors,L.A. Woman,Riders on the Storm
Tomorrows Tulips,Experimental Jelly,Flowers On The Wall
Yung Lean,Unknown Death 2002,Princess Daisy
Part Time,PDA,Night Drive
Part Time,What Would You Say?,I Wanna Take You Out
Part Time,Virgo's Maze,Honey Lips
Part Time,Virgo's Maze,Virgo's Maze
Soko,I Thought I Was An Alien,First Love Never Die
Mr Twin Sister,Split,Meet the Frownies
Mild High Club,Skiptracing,Chapel Perilous
Plums,Jen,Parking Lots
Part Time,Virgo's Maze,It's Too Late
Desmond Cheese,Fame & Fortune,Dope Vhs Master
Myd,The Sun,The Sun
Le Couleur,Voyage love,Femme
field trip,The Sounds Inside Your Mind,Song For CA
field trip,The Sounds Inside Your Mind,The Sounds Inside Your Mind
Pavo Pavo,Young Narrator in the Breakers,Ran Ran Run
Metronomy,The English Riviera,Corinne
Chaz Bundick Meets The Mattson 2,Star Stuff,JBS
Crystal Castles,Crystal Castles,Crimewave
Horsebeach,Horsebeach,Faded Eyes
Jonti,Rain,Rain
The Clientele,Suburban Light (Remastered),Reflections After Jane
Fleet Foxes,Crack-Up (Choral Version) / In the Morning (Live in Switzerland),Crack-Up - Choral Version
Fleet Foxes,Crack-Up (Choral Version) / In the Morning (Live in Switzerland),In The Morning - Live in Switzerland
Chaz Bundick Meets The Mattson 2,Star Stuff,Don't Blame Yourself
Chaz Bundick Meets The Mattson 2,Star Stuff,A Search
The Smiths,The Smiths,Reel Around the Fountain - 2011 Remaster
The Smiths,The Smiths,You've Got Everything Now - 2011 Remaster
The Smiths,The Smiths,Miserable Lie - 2011 Remaster
The Smiths,The Smiths,Pretty Girls Make Graves - 2011 Remaster
The Smiths,The Smiths,The Hand That Rocks the Cradle - 2011 Remaster
The Smiths,The Smiths,This Charming Man - 2011 Remaster
The Smiths,The Smiths,Still Ill - 2011 Remaster
The Smiths,The Smiths,Hand in Glove - 2011 Remaster
The Smiths,The Smiths,What Difference Does It Make? - 2011 Remaster
The Smiths,The Smiths,I Don't Owe You Anything - 2011 Remaster
The Smiths,The Smiths,Suffer Little Children - 2011 Remaster
The Cure,Kiss Me Kiss Me Kiss Me (Remastered 2006),Just Like Heaven - Remastered 2006
Tears For Fears,Songs From The Big Chair,Everybody Wants To Rule The World
Roxy Music,Roxy Music Collection,More Than This
Pet Shop Boys,Please,West End Girls - 2001 Remaster
The Cure,Staring At The Sea - The Singles,Boys Don't Cry
Derribos Arias,Cd,Branquias bajo el agua
Fleetwood Mac,Tango In the Night (Deluxe Edition),Everywhere - 2017 Remaster
New Order,The Best of New Order,Blue Monday '88
La Mode,El Eterno Femenino,El Eterno Femenino
Crowded House,Crowded House,Don't Dream It's Over
Wang Chung,Best Of,Dance Hall Days (Re-Recorded)
Daryl Hall & John Oates,Private Eyes (Expanded Edition),Private Eyes
Yes,90125 (Deluxe Version),Owner of a Lonely Heart
Domenique Dumont,Miniatures de auto rhythm,"Sans cesse, mon chéri"
Tipsy,Michelangelo in Space,Size 178-79-55-91
Filmico,In the Senses,Quest
Connan Mockasin,Jassbusters,Charlotte's Thong
Amtrac,Formal Disco,Formal Disco
Real Estate,Days,It's Real
Wild Nothing,Gemini,Our Composition Book
Part Time,Virgo's Maze,It's Elizabeth
Papercuts,You Can Have What You Want,Future Primitive
Mac DeMarco,Here Comes The Cowboy,Finally Alone
Omar Apollo,Friends,Kickback
Lounge FM,Love Will Let You Down,Play Nice
Yellow Days,What's It All For?,What's It All For?
Helado Negro,This Is How You Smile,Please Won’t Please
A.C. Freazy,The Other Side,The Other Side
Papooz,Night Sketches,Theatrical State of Mind
The Marías,Clueless,Clueless
Mark Whalen,Morning Glory,Happen Twice
Far Caspian,Conversations,Conversations
Freak Slug,Disorder,Disorder
Feng Suave,Venus Flytrap,Venus Flytrap
RMZ,Music in the Village,Music in the Village
Far Caspian,A Dream of You,A Dream of You
Miel De Montagne,Ces rêves,Ces rêves
Mark Whalen,Morning Glory,Oh Susan
BRONCHO,Bad Behavior,Sandman
Marsandaras (M*A*R*S),Waste Ur Time,Waste Ur Time
Men I Trust,"Say, Can You Hear","Say, Can You Hear"
Part Time,Return to Cherry,Animal Machines
Club Kuru,Cherry Bloom,Cherry Bloom
Fenster,The Room,The Room
nic and reuben,Somethin' Somethin',Paddling Out
Men I Trust,Norton Commander (All We Need),Norton Commander (All We Need)
Xavier Gibson,I Love U (This is For All My Hopeless Romantics),I Love U - This is For All My Hopeless Romantics
Havelock,Vacancy,Vacancy
Cuco,Para Mi,Best Friend
Cuco,Para Mi,Do Better
Banes World,Drowsy,Stay Away from My Baby
Banes World,Drowsy,Still Lovely
Banes World,Drowsy,Drowsy
Toro y Moi,smartbeats,Balance (feat. Washed Out)
Toro y Moi,smartbeats,Move (feat. Nosaj Thing)
Friendly Fires,Inflorescent,Can't Wait Forever
Boards of Canada,The Campfire Headphase,Sherbet Head
Lzr,Austria,Austria
Allah-Las,Prazer Em Te Conhecer,Prazer Em Te Conhecer
Temples,Volcano,Certainty
Caesars,Jerk It Out,Jerk It Out
Capital Cities,In A Tidal Wave Of Mystery (Deluxe Edition),Safe And Sound
Smash Mouth,Astro Lounge,All Star
Smash Mouth,Smash Mouth,I'm A Believer
M83,"Hurry up, We're Dreaming",Midnight City
Belle and Sebastian,Days of the Bagnold Summer,I Know Where The Summer Goes
Allah-Las,Allah-Las,Catamaran
Kid Francescoli,Play Me Again,Moon
Requin Chagrin,Sémaphore,Sémaphore
Vendredi sur Mer,Premiers émois,Écoute Chérie
Her,Her,Shuggie - Bonus Track
Miel De Montagne,Miel de Montagne,L'amour
L'Impératrice,Matahari (French Version),Là-haut
L'Impératrice,Odyssée - EP,Agitations tropicales
Vendredi sur Mer,Premiers émois,Chewing-Gum
Toro y Moi,Outer Peace,Ordinary Pleasure
Vendredi sur Mer,Premiers émois,La femme à la peau bleue
Vendredi sur Mer,Premiers émois,Larme à gauche
King Krule,Man Alive!,Airport Antenatal Airplane
Crumb,Jinx,Ghostride
Neon Indian,Vega Intl. Night School,Smut!
Mild High Club,Timeline,Note to Self
Grumpy,Space Cadet,Space Cadet
Eoin Dolan,Superior Fiction,Superior Fiction
Why Bonnie,Voice Box,Voice Box
Born Ruffians,Dedication,Dedication
Tomorrows Tulips,Experimental Jelly,Internal Perm
Ty Segall,Freedom's Goblin,My Lady's On Fire
Together Pangea,Sleeping Til Sunset (Acoustic Versions),Friend of Nothing - Acoustic
Mystic Braves,Desert Island,Bright Blue Day Haze
BRONCHO,Bad Behavior,Boys Got to Go
Harlem,Hippies,Gay Human Bones
The Cleaners From Venus,Midnight Cleaners,Only a Shadow
The Babies,Our House on the Hill,Mess Me Around
Thee Oh Sees,Smote Reverser,C
BRONCHO,Just Enough Hip to Be Woman,Class Historian
Ty Segall,Ty Segall,Orange Color Queen
Thee Oh Sees,Live in San Francisco,Tidal Wave
Tomorrows Tulips,Harnessed to Flesh,Worn Issue Ltd
Allah-Las,Fish on the Sand,Fish on the Sand
Ty Segall,Manipulator,Tall Man Skinny Lady
BRONCHO,Bad Behavior,Easy Way Out
Tomorrows Tulips,Eternally Teenage,Living Room Sensative
The Memories,Touched by an Angel,Touched by an Angel
The King Khan & BBQ Show,The King Khan & BBQ Show,Love You So
Allah-Las,LAHS,Star
Damaged Bug,Cold Hot Plumbs,Jet in Jungle
Bleached,Don’t You Think You’ve Had Enough?,Hard to Kill
King Tuff,I'm Free,I'm Free
Tomorrows Tulips,When,Down Turned Self Pity
Helvetia,Nothing In Rambling,RyBro
Tomorrows Tulips,Harnessed to Flesh,Harnessed to Flesh
The Memories,Second Try,Second Try
The Cleaners From Venus,Under Wartime Conditions,Summer in a Small Town
Allah-Las,Allah-Las,Busman's Holiday
Dead Ghosts,Can't Get No,Roky Said
Allah-Las,Worship the Sun,Ferus Gallery
The Cleaners From Venus,My Back Wages,Incident in a Greatcoat
Ty Segall,Melted,Finger
Mk.gee,Pronounced McGee,You
Ciscero,"Good To Know (feat. Masego, Kp & Ambriia)","Good To Know (feat. Masego, Kp & Ambriia)"
JORDANN,Business Solutions,Business Solutions
Braxton Cook,Somewhere in Between (Swarvy Remix),Somewhere in Between (Swarvy Remix)
Swing,S'en aller,S'en aller
Tei Shi,La Linda,Even If It Hurts
PREP,Don't Look Back,Don't Look Back
Vanilla,Origin,Swept Away
Funkmammoth,Bird Watching,It'll Be OK
Hablot Brown,Soulection Black Label: Hablot Brown,Easy For You
[bsd.u],pook,late nite
letherette,Mander House Edits,Just for You
Saib,Basement Grooves,Agua
FloFilz,Beats On Boat: Flofilz,Uferlos
Jazzinuf,Soul Mates,Soul Mates
boy pablo,Soy Pablo,Feeling Lonely
Puma Blue,Moon Undah Water,Moon Undah Water
The Marías,I Don't Know You,I Don't Know You
Mac DeMarco,2,Freaking Out the Neighborhood
Miles Davis,Kind Of Blue (Legacy Edition),Blue in Green (feat. John Coltrane & Bill Evans)
Fleet Foxes,Fleet Foxes,Ragged Wood
Toro y Moi,Boo Boo,Girl Like You
The Beatles,Abbey Road (Remastered),Here Comes The Sun - Remastered 2009
The Drums,Portamento,Days
The Smiths,The Queen Is Dead,"Frankly, Mr. Shankly - 2011 Remaster"
Cocteau Twins,Heaven Or Las Vegas (Remastered),Heaven Or Las Vegas
The Drums,Portamento,Money
Slowdive,Souvlaki,When the Sun Hits
The Velvet Underground,Loaded: Re-Loaded 45th Anniversary Edition,Rock & Roll - Full Length Version; 2015 Remaster
The Modern Lovers,The Modern Lovers (Expanded Version),Pablo Picasso
Hotel Neon,Means of Knowing,Unseen Landscapes
Rhucle,Fantastic Garden,Rigid Hornwort
Chihei Hatakeyama,Void XVII,Red comet
1991,No More Dreams,No More Dreams II
Ryuichi Sakamoto,async,ZURE
PJS,Solstice Birth Magic,Solstice Birth Magic I
Desolate Horizons,Hesitation,With Every Heartbeat
Radiohead,In Rainbows,Nude
Jimi Hendrix,Both Sides of the Sky,Jungle
The Velvet Underground,The Velvet Underground & Nico 45th Anniversary,I'm Waiting For The Man
Arcade Fire,The Suburbs,The Suburbs
The Rolling Stones,Some Girls,Beast Of Burden - Remastered 1994
Pink Floyd,Meddle (2011 Remastered Version),Echoes - 2011 Remastered Version
Radiohead,In Rainbows,All I Need
Pink Floyd,Animals (2011 Remastered Version),Dogs - 2011 Remaster
The Kinks,Face to Face (Deluxe),Sunny Afternoon
The Clash,Sandinista! (Remastered),Charlie Don't Surf - Remastered
Pink Floyd,The Dark Side Of The Moon (2011 Remastered Version),Brain Damage - 2011 Remastered Version
Led Zeppelin,Led Zeppelin III (Remaster),That's the Way - Remaster
John Lennon,Plastic Ono Band,Hold On - Remastered 2010
Yumi Zouma,In Camera,In Camera
Boards of Canada,Music Has The Right To Children,Roygbiv
Boards of Canada,The Campfire Headphase,Peacock Tail
Boards of Canada,The Campfire Headphase,Chromakey Dreamcoat
Talking Heads,Speaking in Tongues (Deluxe Version),This Must Be the Place (Naive Melody) - 2005 Remaster
Talking Heads,Burning Down the House / I Get Wild / Wild Gravity,Burning Down the House
Talking Heads,More Songs About Buildings and Food (Deluxe Version),Take Me to the River - 2005 Remaster
Talking Heads,Little Creatures,And She Was - 2005 Remaster
Talking Heads,Naked,Blind
